1	PI	545	546	549	552	555	558	561	564	567	570	573	576	579	582	585	588
18	PI	591	594	597	600	603	606	609	612	615	618	621	624	627	630	633	636
35	PI	639	642	645	648	651	654	657	660	663	666	669	672	675	678	681	684
52	PI	687	690	693	696	699	702	705	708	711	714	717	720	723	726	729	732
69	PI	735	738	741	744	747	750	753	756	759	762	765	768	771	774	777	780
86	PI	783	786	789	792	795	798	801	804	807	810	813	816	819	822	825	828
103	PI	831	834	837	840	843	846	849	852	855	858	861	864	867	870	873	876
120	PI	879	882	885	888	891	894	897	900	903	906	909	912	915	918	921	924
137	PI	927	930	933	936	939	942	945	948	951	954	957	960	963	966	969	972
154	PI	975	978	981	984	987	990	993	996	999	1002	1005	1008	1011	1014	1017	1020
171	PI	1023	1026	1029	1032	1035	1038	1041	1044	1047	1050	1053	1056	1059	1062	1065	1068
188	PI	1071	1074	1077	1080	1083	1086	1089	1092	1095	1098	1101	1104	1107	1110	1113	1116
205	PI	1119	1122	1125	1128	1131	1134	1137	1140	1143	1146	1149	1152	1155	1158	1161	1164
222	PI	1167	1170	1173	1176	1179	1182	1185	1188	1191	1194	1197	1200	1203	1206	1209	1212
239	PI	1215	1218	1221	1224	1227	1230	1233	1236	1239	1242	1245	1248	1251	1254	1257	1260
256	PI	1263	1266	1269	1272	1275	1278	1281	1284	1287	1290	1293	1296	1299	1302	1305	1308
273	PI	545	591	639	687	735	783	831	879	927	975	1023	1071	1119	1167	1215	1263
290	PI	546	594	642	690	738	786	834	882	930	978	1026	1074	1122	1170	1218	1266
307	PI	549	597	645	693	741	789	837	885	933	981	1029	1077	1125	1173	1221	1269
324	PI	552	600	648	696	744	792	840	888	936	984	1032	1080	1128	1176	1224	1272
341	PI	555	603	651	699	747	795	843	891	939	987	1035	1083	1131	1179	1227	1275
358	PI	558	606	654	702	750	798	846	894	942	990	1038	1086	1134	1182	1230	1278
375	PI	561	609	657	705	753	801	849	897	945	993	1041	1089	1137	1185	1233	1281
392	PI	564	612	660	708	756	804	852	900	948	996	1044	1092	1140	1188	1236	1284
409	PI	567	615	663	711	759	807	855	903	951	999	1047	1095	1143	1191	1239	1287
426	PI	570	618	666	714	762	810	858	906	954	1002	1050	1098	1146	1194	1242	1290
443	PI	573	621	669	717	765	813	861	909	957	1005	1053	1101	1149	1197	1245	1293
460	PI	576	624	672	720	768	816	864	912	960	1008	1056	1104	1152	1200	1248	1296
477	PI	579	627	675	723	771	819	867	915	963	1011	1059	1107	1155	1203	1251	1299
494	PI	582	630	678	726	774	822	870	918	966	1014	1062	1110	1158	1206	1254	1302
511	PI	585	633	681	729	777	825	873	921	969	1017	1065	1113	1161	1209	1257	1305
528	PI	588	636	684	732	780	828	876	924	972	1020	1068	1116	1164	1212	1260	1308
545	AND	6289
2868	NOR	2914
2869	NOR	2914
2870	NOR	2917	2975
2873	NOR	2921	2922	2923
2877	NOR	6294
2878	NOR	2926	2987
2881	NOR	2930	2989
2884	NOR	2934	2991
2887	NOR	2938	2993
2890	NOR	2942	2995
2893	NOR	2946	2997
2896	NOR	2950	2999
2899	NOR	2954	3001
2902	NOR	2958	3003
2905	NOR	2962	3005
2908	NOR	2966	2967	3121
2912	NOR	2968
2913	NOR	2968
2914	NOR	2971	3014
2917	NOR	2975	2976	2977
2921	NOR	2980
2922	NOR	2980
2923	NOR	2983	3027
2926	NOR	2987	2988	3142
2930	NOR	2989	2990	3147
2934	NOR	2991	2992	3152
2938	NOR	2993	2994	3157
2942	NOR	2995	2996	3162
2946	NOR	2997	2998	3167
2950	NOR	2999	3000	3172
2954	NOR	3001	3002	3177
2958	NOR	3003	3004	3182
2962	NOR	3005	3006	3187
2966	NOR	3007
2967	NOR	3007
2968	NOR	3010	3062
2971	NOR	3014	3015	3016
2975	NOR	3019
2976	NOR	3019
2977	NOR	3022	3075
2980	NOR	3022	3074
2983	NOR	3026	3027	3208
2987	NOR	3028
2988	NOR	3028
2989	NOR	3031
2990	NOR	3031
2991	NOR	3034
2992	NOR	3034
2993	NOR	3037
2994	NOR	3037
2995	NOR	3040
2996	NOR	3040
2997	NOR	3043
2998	NOR	3043
2999	NOR	3046
3000	NOR	3046
3001	NOR	3049
3002	NOR	3049
3003	NOR	3052
3004	NOR	3052
3005	NOR	3055
3006	NOR	3055
3007	NOR	3058	3119
3010	NOR	3062	3063	3064
3014	NOR	3067
3015	NOR	3067
3016	NOR	3070	3132
3019	NOR	3070	3131
3022	NOR	3074	3075	3254
3026	NOR	3076
3027	NOR	3076
3028	NOR	3079	3140
3031	NOR	3083	3145
3034	NOR	3087	3150
3037	NOR	3091	3155
3040	NOR	3095	3160
3043	NOR	3099	3165
3046	NOR	3103	3170
3049	NOR	3107	3175
3052	NOR	3111	3180
3055	NOR	3115	3185
3058	NOR	3119	3120	3121
3062	NOR	3124
3063	NOR	3124
3064	NOR	3127	3198
3067	NOR	3127	3197
3070	NOR	3131	3132	3311
3074	NOR	3133
3075	NOR	3133
3076	NOR	3136	3206
3079	NOR	3140	3141	3142
3083	NOR	3145	3146	3147
3087	NOR	3150	3151	3152
3091	NOR	3155	3156	3157
3095	NOR	3160	3161	3162
3099	NOR	3165	3166	3167
3103	NOR	3170	3171	3172
3107	NOR	3175	3176	3177
3111	NOR	3180	3181	3182
3115	NOR	3185	3186	3187
3119	NOR	3190
3120	NOR	3190
3121	NOR	3193	3244
3124	NOR	3193	3243
3127	NOR	3197	3198	3350
3131	NOR	3199
3132	NOR	3199
3133	NOR	3202	3252
3136	NOR	3206	3207	3208
3140	NOR	3211
3141	NOR	3211
3142	NOR	3264	3324
3145	NOR	3212
3146	NOR	3212
3147	NOR	3268	3326
3150	NOR	3215
3151	NOR	3215
3152	NOR	3272	3328
3155	NOR	3218
3156	NOR	3218
3157	NOR	3276	3330
3160	NOR	3221
3161	NOR	3221
3162	NOR	3280	3332
3165	NOR	3224
3166	NOR	3224
3167	NOR	3284	3334
3170	NOR	3227
3171	NOR	3227
3172	NOR	3288	3336
3175	NOR	3230
3176	NOR	3230
3177	NOR	3292	3338
3180	NOR	3233
3181	NOR	3233
3182	NOR	3296	3340
3185	NOR	3236
3186	NOR	3236
3187	NOR	3239	3301
3190	NOR	3239	3300
3193	NOR	3243	3244	3398
3197	NOR	3245
3198	NOR	3245
3199	NOR	3248	3309
3202	NOR	3252	3253	3254
3206	NOR	3257
3207	NOR	3257
3208	NOR	3260	3322
3211	NOR	6295
3212	NOR	3264	3323
3215	NOR	3268	3325
3218	NOR	3272	3327
3221	NOR	3276	3329
3224	NOR	3280	3331
3227	NOR	3284	3333
3230	NOR	3288	3335
3233	NOR	3292	3337
3236	NOR	3296	3339
3239	NOR	3300	3301	3455
3243	NOR	3302
3244	NOR	3302
3245	NOR	3305	3348
3248	NOR	3309	3310	3311
3252	NOR	3314
3253	NOR	3314
3254	NOR	3317	3361
3257	NOR	3317	3360
3260	NOR	3321	3322	3476
3264	NOR	3323	3324	3481
3268	NOR	3325	3326	3486
3272	NOR	3327	3328	3491
3276	NOR	3329	3330	3496
3280	NOR	3331	3332	3501
3284	NOR	3333	3334	3506
3288	NOR	3335	3336	3511
3292	NOR	3337	3338	3516
3296	NOR	3339	3340	3521
3300	NOR	3341
3301	NOR	3341
3302	NOR	3344	3396
3305	NOR	3348	3349	3350
3309	NOR	3353
3310	NOR	3353
3311	NOR	3356	3409
3314	NOR	3356	3408
3317	NOR	3360	3361	3542
3321	NOR	3362
3322	NOR	3362
3323	NOR	3365
3324	NOR	3365
3325	NOR	3368
3326	NOR	3368
3327	NOR	3371
3328	NOR	3371
3329	NOR	3374
3330	NOR	3374
3331	NOR	3377
3332	NOR	3377
3333	NOR	3380
3334	NOR	3380
3335	NOR	3383
3336	NOR	3383
3337	NOR	3386
3338	NOR	3386
3339	NOR	3389
3340	NOR	3389
3341	NOR	3392	3453
3344	NOR	3396	3397	3398
3348	NOR	3401
3349	NOR	3401
3350	NOR	3404	3466
3353	NOR	3404	3465
3356	NOR	3408	3409	3592
3360	NOR	3410
3361	NOR	3410
3362	NOR	3413	3474
3365	NOR	3417	3479
3368	NOR	3421	3484
3371	NOR	3425	3489
3374	NOR	3429	3494
3377	NOR	3433	3499
3380	NOR	3437	3504
3383	NOR	3441	3509
3386	NOR	3445	3514
3389	NOR	3449	3519
3392	NOR	3453	3454	3455
3396	NOR	3458
3397	NOR	3458
3398	NOR	3461	3532
3401	NOR	3461	3531
3404	NOR	3465	3466	3647
3408	NOR	3467
3409	NOR	3467
3410	NOR	3470	3540
3413	NOR	3474	3475	3476
3417	NOR	3479	3480	3481
3421	NOR	3484	3485	3486
3425	NOR	3489	3490	3491
3429	NOR	3494	3495	3496
3433	NOR	3499	3500	3501
3437	NOR	3504	3505	3506
3441	NOR	3509	3510	3511
3445	NOR	3514	3515	3516
3449	NOR	3519	3520	3521
3453	NOR	3524
3454	NOR	3524
3455	NOR	3527	3582
3458	NOR	3527	3581
3461	NOR	3531	3532	3687
3465	NOR	3533
3466	NOR	3533
3467	NOR	3536	3590
3470	NOR	3540	3541	3542
3474	NOR	3545
3475	NOR	3545
3476	NOR	3548	3603
3479	NOR	3552
3480	NOR	3552
3481	NOR	3604	3663
3484	NOR	3553
3485	NOR	3553
3486	NOR	3608	3665
3489	NOR	3556
3490	NOR	3556
3491	NOR	3612	3667
3494	NOR	3559
3495	NOR	3559
3496	NOR	3616	3669
3499	NOR	3562
3500	NOR	3562
3501	NOR	3620	3671
3504	NOR	3565
3505	NOR	3565
3506	NOR	3624	3673
3509	NOR	3568
3510	NOR	3568
3511	NOR	3628	3675
3514	NOR	3571
3515	NOR	3571
3516	NOR	3632	3677
3519	NOR	3574
3520	NOR	3574
3521	NOR	3577	3637
3524	NOR	3577	3636
3527	NOR	3581	3582	3736
3531	NOR	3583
3532	NOR	3583
3533	NOR	3586	3645
3536	NOR	3590	3591	3592
3540	NOR	3595
3541	NOR	3595
3542	NOR	3598	3658
3545	NOR	3598	3657
3548	NOR	3602	3603	3757
3552	NOR	6296
3553	NOR	3604	3662
3556	NOR	3608	3664
3559	NOR	3612	3666
3562	NOR	3616	3668
3565	NOR	3620	3670
3568	NOR	3624	3672
3571	NOR	3628	3674
3574	NOR	3632	3676
3577	NOR	3636	3637	3794
3581	NOR	3638
3582	NOR	3638
3583	NOR	3641	3685
3586	NOR	3645	3646	3647
3590	NOR	3650
3591	NOR	3650
3592	NOR	3653	3698
3595	NOR	3653	3697
3598	NOR	3657	3658	3815
3602	NOR	3659
3603	NOR	3659
3604	NOR	3662	3663	3827
3608	NOR	3664	3665	3832
3612	NOR	3666	3667	3837
3616	NOR	3668	3669	3842
3620	NOR	3670	3671	3847
3624	NOR	3672	3673	3852
3628	NOR	3674	3675	3857
3632	NOR	3676	3677	3862
3636	NOR	3678
3637	NOR	3678
3638	NOR	3681	3734
3641	NOR	3685	3686	3687
3645	NOR	3690
3646	NOR	3690
3647	NOR	3693	3747
3650	NOR	3693	3746
3653	NOR	3697	3698	3883
3657	NOR	3699
3658	NOR	3699
3659	NOR	3702	3755
3662	NOR	3706
3663	NOR	3706
3664	NOR	3709
3665	NOR	3709
3666	NOR	3712
3667	NOR	3712
3668	NOR	3715
3669	NOR	3715
3670	NOR	3718
3671	NOR	3718
3672	NOR	3721
3673	NOR	3721
3674	NOR	3724
3675	NOR	3724
3676	NOR	3727
3677	NOR	3727
3678	NOR	3730	3792
3681	NOR	3734	3735	3736
3685	NOR	3739
3686	NOR	3739
3687	NOR	3742	3805
3690	NOR	3742	3804
3693	NOR	3746	3747	3932
3697	NOR	3748
3698	NOR	3748
3699	NOR	3751	3813
3702	NOR	3755	3756	3757
3706	NOR	3760	3825
3709	NOR	3764	3830
3712	NOR	3768	3835
3715	NOR	3772	3840
3718	NOR	3776	3845
3721	NOR	3780	3850
3724	NOR	3784	3855
3727	NOR	3788	3860
3730	NOR	3792	3793	3794
3734	NOR	3797
3735	NOR	3797
3736	NOR	3800	3873
3739	NOR	3800	3872
3742	NOR	3804	3805	3986
3746	NOR	3806
3747	NOR	3806
3748	NOR	3809	3881
3751	NOR	3813	3814	3815
3755	NOR	3818
3756	NOR	3818
3757	NOR	3821	3894
3760	NOR	3825	3826	3827
3764	NOR	3830	3831	3832
3768	NOR	3835	3836	3837
3772	NOR	3840	3841	3842
3776	NOR	3845	3846	3847
3780	NOR	3850	3851	3852
3784	NOR	3855	3856	3857
3788	NOR	3860	3861	3862
3792	NOR	3865
3793	NOR	3865
3794	NOR	3868	3922
3797	NOR	3868	3921
3800	NOR	3872	3873	4028
3804	NOR	3874
3805	NOR	3874
3806	NOR	3877	3930
3809	NOR	3881	3882	3883
3813	NOR	3886
3814	NOR	3886
3815	NOR	3889	3943
3818	NOR	3889	3942
3821	NOR	3893	3894	4049
3825	NOR	3895
3826	NOR	3895
3827	NOR	3947	4006
3830	NOR	3896
3831	NOR	3896
3832	NOR	3951	4008
3835	NOR	3899
3836	NOR	3899
3837	NOR	3955	4010
3840	NOR	3902
3841	NOR	3902
3842	NOR	3959	4012
3845	NOR	3905
3846	NOR	3905
3847	NOR	3963	4014
3850	NOR	3908
3851	NOR	3908
3852	NOR	3967	4016
3855	NOR	3911
3856	NOR	3911
3857	NOR	3971	4018
3860	NOR	3914
3861	NOR	3914
3862	NOR	3917	3976
3865	NOR	3917	3975
3868	NOR	3921	3922	4079
3872	NOR	3923
3873	NOR	3923
3874	NOR	3926	3984
3877	NOR	3930	3931	3932
3881	NOR	3935
3882	NOR	3935
3883	NOR	3938	3997
3886	NOR	3938	3996
3889	NOR	3942	3943	4100
3893	NOR	3944
3894	NOR	3944
3895	NOR	6297
3896	NOR	3947	4005
3899	NOR	3951	4007
3902	NOR	3955	4009
3905	NOR	3959	4011
3908	NOR	3963	4013
3911	NOR	3967	4015
3914	NOR	3971	4017
3917	NOR	3975	3976	4140
3921	NOR	3977
3922	NOR	3977
3923	NOR	3980	4026
3926	NOR	3984	3985	3986
3930	NOR	3989
3931	NOR	3989
3932	NOR	3992	4039
3935	NOR	3992	4038
3938	NOR	3996	3997	4161
3942	NOR	3998
3943	NOR	3998
3944	NOR	4001	4047
3947	NOR	4005	4006	4175
3951	NOR	4007	4008	4180
3955	NOR	4009	4010	4185
3959	NOR	4011	4012	4190
3963	NOR	4013	4014	4195
3967	NOR	4015	4016	4200
3971	NOR	4017	4018	4205
3975	NOR	4019
3976	NOR	4019
3977	NOR	4022	4077
3980	NOR	4026	4027	4028
3984	NOR	4031
3985	NOR	4031
3986	NOR	4034	4090
3989	NOR	4034	4089
3992	NOR	4038	4039	4226
3996	NOR	4040
3997	NOR	4040
3998	NOR	4043	4098
4001	NOR	4047	4048	4049
4005	NOR	4052
4006	NOR	4052
4007	NOR	4055
4008	NOR	4055
4009	NOR	4058
4010	NOR	4058
4011	NOR	4061
4012	NOR	4061
4013	NOR	4064
4014	NOR	4064
4015	NOR	4067
4016	NOR	4067
4017	NOR	4070
4018	NOR	4070
4019	NOR	4073	4138
4022	NOR	4077	4078	4079
4026	NOR	4082
4027	NOR	4082
4028	NOR	4085	4151
4031	NOR	4085	4150
4034	NOR	4089	4090	4275
4038	NOR	4091
4039	NOR	4091
4040	NOR	4094	4159
4043	NOR	4098	4099	4100
4047	NOR	4103
4048	NOR	4103
4049	NOR	4106	4172
4052	NOR	4110	4173
4055	NOR	4114	4178
4058	NOR	4118	4183
4061	NOR	4122	4188
4064	NOR	4126	4193
4067	NOR	4130	4198
4070	NOR	4134	4203
4073	NOR	4138	4139	4140
4077	NOR	4143
4078	NOR	4143
4079	NOR	4146	4216
4082	NOR	4146	4215
4085	NOR	4150	4151	4329
4089	NOR	4152
4090	NOR	4152
4091	NOR	4155	4224
4094	NOR	4159	4160	4161
4098	NOR	4164
4099	NOR	4164
4100	NOR	4167	4237
4103	NOR	4167	4236
4106	NOR	4171	4172	4350
4110	NOR	4173	4174	4175
4114	NOR	4178	4179	4180
4118	NOR	4183	4184	4185
4122	NOR	4188	4189	4190
4126	NOR	4193	4194	4195
4130	NOR	4198	4199	4200
4134	NOR	4203	4204	4205
4138	NOR	4208
4139	NOR	4208
4140	NOR	4211	4265
4143	NOR	4211	4264
4146	NOR	4215	4216	4374
4150	NOR	4217
4151	NOR	4217
4152	NOR	4220	4273
4155	NOR	4224	4225	4226
4159	NOR	4229
4160	NOR	4229
4161	NOR	4232	4286
4164	NOR	4232	4285
4167	NOR	4236	4237	4395
4171	NOR	4238
4172	NOR	4238
4173	NOR	4241
4174	NOR	4241
4175	NOR	4294	4354
4178	NOR	4242
4179	NOR	4242
4180	NOR	4298	4356
4183	NOR	4245
4184	NOR	4245
4185	NOR	4302	4358
4188	NOR	4248
4189	NOR	4248
4190	NOR	4306	4360
4193	NOR	4251
4194	NOR	4251
4195	NOR	4310	4362
4198	NOR	4254
4199	NOR	4254
4200	NOR	4314	4364
4203	NOR	4257
4204	NOR	4257
4205	NOR	4260	4319
4208	NOR	4260	4318
4211	NOR	4264	4265	4429
4215	NOR	4266
4216	NOR	4266
4217	NOR	4269	4327
4220	NOR	4273	4274	4275
4224	NOR	4278
4225	NOR	4278
4226	NOR	4281	4340
4229	NOR	4281	4339
4232	NOR	4285	4286	4450
4236	NOR	4287
4237	NOR	4287
4238	NOR	4290	4348
4241	NOR	6298
4242	NOR	4294	4353
4245	NOR	4298	4355
4248	NOR	4302	4357
4251	NOR	4306	4359
4254	NOR	4310	4361
4257	NOR	4314	4363
4260	NOR	4318	4319	4488
4264	NOR	4320
4265	NOR	4320
4266	NOR	4323	4372
4269	NOR	4327	4328	4329
4273	NOR	4332
4274	NOR	4332
4275	NOR	4335	4385
4278	NOR	4335	4384
4281	NOR	4339	4340	4509
4285	NOR	4341
4286	NOR	4341
4287	NOR	4344	4393
4290	NOR	4348	4349	4350
4294	NOR	4353	4354	4526
4298	NOR	4355	4356	4531
4302	NOR	4357	4358	4536
4306	NOR	4359	4360	4541
4310	NOR	4361	4362	4546
4314	NOR	4363	4364	4551
4318	NOR	4365
4319	NOR	4365
4320	NOR	4368	4427
4323	NOR	4372	4373	4374
4327	NOR	4377
4328	NOR	4377
4329	NOR	4380	4440
4332	NOR	4380	4439
4335	NOR	4384	4385	4572
4339	NOR	4386
4340	NOR	4386
4341	NOR	4389	4448
4344	NOR	4393	4394	4395
4348	NOR	4398
4349	NOR	4398
4350	NOR	4401	4461
4353	NOR	4405
4354	NOR	4405
4355	NOR	4408
4356	NOR	4408
4357	NOR	4411
4358	NOR	4411
4359	NOR	4414
4360	NOR	4414
4361	NOR	4417
4362	NOR	4417
4363	NOR	4420
4364	NOR	4420
4365	NOR	4423	4486
4368	NOR	4427	4428	4429
4372	NOR	4432
4373	NOR	4432
4374	NOR	4435	4499
4377	NOR	4435	4498
4380	NOR	4439	4440	4622
4384	NOR	4441
4385	NOR	4441
4386	NOR	4444	4507
4389	NOR	4448	4449	4450
4393	NOR	4453
4394	NOR	4453
4395	NOR	4456	4520
4398	NOR	4456	4519
4401	NOR	4460	4461	4643
4405	NOR	4462	4524
4408	NOR	4466	4529
4411	NOR	4470	4534
4414	NOR	4474	4539
4417	NOR	4478	4544
4420	NOR	4482	4549
4423	NOR	4486	4487	4488
4427	NOR	4491
4428	NOR	4491
4429	NOR	4494	4562
4432	NOR	4494	4561
4435	NOR	4498	4499	4677
4439	NOR	4500
4440	NOR	4500
4441	NOR	4503	4570
4444	NOR	4507	4508	4509
4448	NOR	4512
4449	NOR	4512
4450	NOR	4515	4583
4453	NOR	4515	4582
4456	NOR	4519	4520	4698
4460	NOR	4521
4461	NOR	4521
4462	NOR	4524	4525	4526
4466	NOR	4529	4530	4531
4470	NOR	4534	4535	4536
4474	NOR	4539	4540	4541
4478	NOR	4544	4545	4546
4482	NOR	4549	4550	4551
4486	NOR	4554
4487	NOR	4554
4488	NOR	4557	4612
4491	NOR	4557	4611
4494	NOR	4561	4562	4727
4498	NOR	4563
4499	NOR	4563
4500	NOR	4566	4620
4503	NOR	4570	4571	4572
4507	NOR	4575
4508	NOR	4575
4509	NOR	4578	4633
4512	NOR	4578	4632
4515	NOR	4582	4583	4748
4519	NOR	4584
4520	NOR	4584
4521	NOR	4587	4641
4524	NOR	4591
4525	NOR	4591
4526	NOR	4646	4709
4529	NOR	4592
4530	NOR	4592
4531	NOR	4650	4711
4534	NOR	4595
4535	NOR	4595
4536	NOR	4654	4713
4539	NOR	4598
4540	NOR	4598
4541	NOR	4658	4715
4544	NOR	4601
4545	NOR	4601
4546	NOR	4662	4717
4549	NOR	4604
4550	NOR	4604
4551	NOR	4607	4667
4554	NOR	4607	4666
4557	NOR	4611	4612	4781
4561	NOR	4613
4562	NOR	4613
4563	NOR	4616	4675
4566	NOR	4620	4621	4622
4570	NOR	4625
4571	NOR	4625
4572	NOR	4628	4688
4575	NOR	4628	4687
4578	NOR	4632	4633	4802
4582	NOR	4634
4583	NOR	4634
4584	NOR	4637	4696
4587	NOR	4641	4642	4643
4591	NOR	6299
4592	NOR	4646	4708
4595	NOR	4650	4710
4598	NOR	4654	4712
4601	NOR	4658	4714
4604	NOR	4662	4716
4607	NOR	4666	4667	4839
4611	NOR	4668
4612	NOR	4668
4613	NOR	4671	4725
4616	NOR	4675	4676	4677
4620	NOR	4680
4621	NOR	4680
4622	NOR	4683	4738
4625	NOR	4683	4737
4628	NOR	4687	4688	4860
4632	NOR	4689
4633	NOR	4689
4634	NOR	4692	4746
4637	NOR	4696	4697	4698
4641	NOR	4701
4642	NOR	4701
4643	NOR	4704	4759
4646	NOR	4708	4709	4881
4650	NOR	4710	4711	4886
4654	NOR	4712	4713	4891
4658	NOR	4714	4715	4896
4662	NOR	4716	4717	4901
4666	NOR	4718
4667	NOR	4718
4668	NOR	4721	4779
4671	NOR	4725	4726	4727
4675	NOR	4730
4676	NOR	4730
4677	NOR	4733	4792
4680	NOR	4733	4791
4683	NOR	4737	4738	4922
4687	NOR	4739
4688	NOR	4739
4689	NOR	4742	4800
4692	NOR	4746	4747	4748
4696	NOR	4751
4697	NOR	4751
4698	NOR	4754	4813
4701	NOR	4754	4812
4704	NOR	4758	4759	4943
4708	NOR	4760
4709	NOR	4760
4710	NOR	4763
4711	NOR	4763
4712	NOR	4766
4713	NOR	4766
4714	NOR	4769
4715	NOR	4769
4716	NOR	4772
4717	NOR	4772
4718	NOR	4775	4837
4721	NOR	4779	4780	4781
4725	NOR	4784
4726	NOR	4784
4727	NOR	4787	4850
4730	NOR	4787	4849
4733	NOR	4791	4792	4974
4737	NOR	4793
4738	NOR	4793
4739	NOR	4796	4858
4742	NOR	4800	4801	4802
4746	NOR	4805
4747	NOR	4805
4748	NOR	4808	4871
4751	NOR	4808	4870
4754	NOR	4812	4813	4995
4758	NOR	4814
4759	NOR	4814
4760	NOR	4817	4879
4763	NOR	4821	4884
4766	NOR	4825	4889
4769	NOR	4829	4894
4772	NOR	4833	4899
4775	NOR	4837	4838	4839
4779	NOR	4842
4780	NOR	4842
4781	NOR	4845	4912
4784	NOR	4845	4911
4787	NOR	4849	4850	5032
4791	NOR	4851
4792	NOR	4851
4793	NOR	4854	4920
4796	NOR	4858	4859	4860
4800	NOR	4863
4801	NOR	4863
4802	NOR	4866	4933
4805	NOR	4866	4932
4808	NOR	4870	4871	5053
4812	NOR	4872
4813	NOR	4872
4814	NOR	4875	4941
4817	NOR	4879	4880	4881
4821	NOR	4884	4885	4886
4825	NOR	4889	4890	4891
4829	NOR	4894	4895	4896
4833	NOR	4899	4900	4901
4837	NOR	4904
4838	NOR	4904
4839	NOR	4907	4964
4842	NOR	4907	4963
4845	NOR	4911	4912	5082
4849	NOR	4913
4850	NOR	4913
4851	NOR	4916	4972
4854	NOR	4920	4921	4922
4858	NOR	4925
4859	NOR	4925
4860	NOR	4928	4985
4863	NOR	4928	4984
4866	NOR	4932	4933	5103
4870	NOR	4934
4871	NOR	4934
4872	NOR	4937	4993
4875	NOR	4941	4942	4943
4879	NOR	4946
4880	NOR	4946
4881	NOR	5005	5066
4884	NOR	4947
4885	NOR	4947
4886	NOR	5009	5068
4889	NOR	4950
4890	NOR	4950
4891	NOR	5013	5070
4894	NOR	4953
4895	NOR	4953
4896	NOR	5017	5072
4899	NOR	4956
4900	NOR	4956
4901	NOR	4959	5022
4904	NOR	4959	5021
4907	NOR	4963	4964	5136
4911	NOR	4965
4912	NOR	4965
4913	NOR	4968	5030
4916	NOR	4972	4973	4974
4920	NOR	4977
4921	NOR	4977
4922	NOR	4980	5043
4925	NOR	4980	5042
4928	NOR	4984	4985	5157
4932	NOR	4986
4933	NOR	4986
4934	NOR	4989	5051
4937	NOR	4993	4994	4995
4941	NOR	4998
4942	NOR	4998
4943	NOR	5001	5064
4946	NOR	6300
4947	NOR	5005	5065
4950	NOR	5009	5067
4953	NOR	5013	5069
4956	NOR	5017	5071
4959	NOR	5021	5022	5194
4963	NOR	5023
4964	NOR	5023
4965	NOR	5026	5080
4968	NOR	5030	5031	5032
4972	NOR	5035
4973	NOR	5035
4974	NOR	5038	5093
4977	NOR	5038	5092
4980	NOR	5042	5043	5215
4984	NOR	5044
4985	NOR	5044
4986	NOR	5047	5101
4989	NOR	5051	5052	5053
4993	NOR	5056
4994	NOR	5056
4995	NOR	5059	5114
4998	NOR	5059	5113
5001	NOR	5063	5064	5236
5005	NOR	5065	5066	5241
5009	NOR	5067	5068	5246
5013	NOR	5069	5070	5251
5017	NOR	5071	5072	5256
5021	NOR	5073
5022	NOR	5073
5023	NOR	5076	5134
5026	NOR	5080	5081	5082
5030	NOR	5085
5031	NOR	5085
5032	NOR	5088	5147
5035	NOR	5088	5146
5038	NOR	5092	5093	5277
5042	NOR	5094
5043	NOR	5094
5044	NOR	5097	5155
5047	NOR	5101	5102	5103
5051	NOR	5106
5052	NOR	5106
5053	NOR	5109	5168
5056	NOR	5109	5167
5059	NOR	5113	5114	5298
5063	NOR	5115
5064	NOR	5115
5065	NOR	5118
5066	NOR	5118
5067	NOR	5121
5068	NOR	5121
5069	NOR	5124
5070	NOR	5124
5071	NOR	5127
5072	NOR	5127
5073	NOR	5130	5192
5076	NOR	5134	5135	5136
5080	NOR	5139
5081	NOR	5139
5082	NOR	5142	5205
5085	NOR	5142	5204
5088	NOR	5146	5147	5333
5092	NOR	5148
5093	NOR	5148
5094	NOR	5151	5213
5097	NOR	5155	5156	5157
5101	NOR	5160
5102	NOR	5160
5103	NOR	5163	5226
5106	NOR	5163	5225
5109	NOR	5167	5168	5354
5113	NOR	5169
5114	NOR	5169
5115	NOR	5172	5234
5118	NOR	5176	5239
5121	NOR	5180	5244
5124	NOR	5184	5249
5127	NOR	5188	5254
5130	NOR	5192	5193	5194
5134	NOR	5197
5135	NOR	5197
5136	NOR	5200	5267
5139	NOR	5200	5266
5142	NOR	5204	5205	5389
5146	NOR	5206
5147	NOR	5206
5148	NOR	5209	5275
5151	NOR	5213	5214	5215
5155	NOR	5218
5156	NOR	5218
5157	NOR	5221	5288
5160	NOR	5221	5287
5163	NOR	5225	5226	5410
5167	NOR	5227
5168	NOR	5227
5169	NOR	5230	5296
5172	NOR	5234	5235	5236
5176	NOR	5239	5240	5241
5180	NOR	5244	5245	5246
5184	NOR	5249	5250	5251
5188	NOR	5254	5255	5256
5192	NOR	5259
5193	NOR	5259
5194	NOR	5262	5323
5197	NOR	5262	5322
5200	NOR	5266	5267	5440
5204	NOR	5268
5205	NOR	5268
5206	NOR	5271	5331
5209	NOR	5275	5276	5277
5213	NOR	5280
5214	NOR	5280
5215	NOR	5283	5344
5218	NOR	5283	5343
5221	NOR	5287	5288	5461
5225	NOR	5289
5226	NOR	5289
5227	NOR	5292	5352
5230	NOR	5296	5297	5298
5234	NOR	5301
5235	NOR	5301
5236	NOR	5304	5365
5239	NOR	5308
5240	NOR	5308
5241	NOR	5366	5426
5244	NOR	5309
5245	NOR	5309
